Episode 10	Average Score: -0.20
Episode 20	Average Score: 0.05
Episode 30	Average Score: 0.13
Episode 40	Average Score: 0.07
Episode 50	Average Score: 0.14
Episode 60	Average Score: 0.28
Episode 70	Average Score: 0.29
Episode 80	Average Score: 0.42
Episode 90	Average Score: 0.57
Episode 100	Average Score: 0.71
Episode 110	Average Score: 1.03
Episode 120	Average Score: 1.32
Episode 130	Average Score: 1.52
Episode 140	Average Score: 1.91
Episode 150	Average Score: 2.35
Episode 160	Average Score: 2.60
Episode 170	Average Score: 2.95
Episode 180	Average Score: 3.23
Episode 190	Average Score: 3.67
Episode 200	Average Score: 4.06
Episode 210	Average Score: 4.27
Episode 220	Average Score: 4.69
Episode 230	Average Score: 5.10
Episode 240	Average Score: 5.30
Episode 250	Average Score: 5.51
Episode 260	Average Score: 6.04
Episode 270	Average Score: 6.30
Episode 280	Average Score: 6.92
Episode 290	Average Score: 7.07
Episode 300	Average Score: 7.50
Episode 310	Average Score: 8.17
Episode 320	Average Score: 8.66
Episode 330	Average Score: 8.86
Episode 340	Average Score: 9.30
Episode 350	Average Score: 9.67
Episode 360	Average Score: 9.92
Episode 370	Average Score: 10.40
Episode 380	Average Score: 10.43
Episode 390	Average Score: 10.81
Episode 400	Average Score: 10.54
Episode 410	Average Score: 10.70
Episode 420	Average Score: 10.57
Episode 430	Average Score: 10.84
Episode 440	Average Score: 11.20
Episode 450	Average Score: 11.34
Episode 460	Average Score: 11.45
Episode 470	Average Score: 11.54
Episode 480	Average Score: 11.96
Episode 490	Average Score: 11.99
Episode 500	Average Score: 12.38
Episode 510	Average Score: 12.41
Episode 520	Average Score: 12.57
Episode 530	Average Score: 12.90
Episode 540	Average Score: 13.01
Episode 550	Average Score: 13.24
Episode 560	Average Score: 13.40
Episode 570	Average Score: 13.68
Episode 580	Average Score: 13.88
Episode 590	Average Score: 14.21
Episode 600	Average Score: 14.64
Episode 610	Average Score: 14.73
Episode 620	Average Score: 14.93
Episode 630	Average Score: 14.96
Episode 640	Average Score: 14.72
Episode 650	Average Score: 14.82
Episode 660	Average Score: 15.06
Episode 670	Average Score: 15.04
Episode 680	Average Score: 14.82
Episode 690	Average Score: 14.84
Episode 700	Average Score: 14.84
Episode 710	Average Score: 15.00
Episode 720	Average Score: 15.06
Episode 730	Average Score: 15.23
Episode 740	Average Score: 15.58
Episode 750	Average Score: 15.75
Episode 760	Average Score: 15.61
Episode 770	Average Score: 15.67
Episode 780	Average Score: 15.86
Episode 790	Average Score: 15.88
Episode 800	Average Score: 15.75
Episode 810	Average Score: 15.79
Episode 820	Average Score: 15.85
Episode 830	Average Score: 15.82
Episode 840	Average Score: 15.85
Episode 850	Average Score: 15.82
Episode 860	Average Score: 15.97
Episode 870	Average Score: 16.03
Episode 880	Average Score: 15.93
Episode 890	Average Score: 15.83
Episode 900	Average Score: 15.67
Episode 910	Average Score: 15.20
Episode 920	Average Score: 15.20
Episode 930	Average Score: 15.04
Episode 940	Average Score: 14.80
Episode 950	Average Score: 14.70
Episode 960	Average Score: 14.81
Episode 970	Average Score: 14.35
Episode 980	Average Score: 14.44
Episode 990	Average Score: 14.80
Episode 1000	Average Score: 15.03
Episode 1010	Average Score: 15.27
Episode 1020	Average Score: 15.41
Episode 1030	Average Score: 15.57
Episode 1040	Average Score: 15.68
Episode 1050	Average Score: 15.81
Episode 1060	Average Score: 15.50
Episode 1070	Average Score: 15.87
Episode 1080	Average Score: 15.91
Episode 1090	Average Score: 15.51
Episode 1100	Average Score: 15.70
Episode 1110	Average Score: 15.94
Episode 1120	Average Score: 15.65
Episode 1130	Average Score: 15.70
Episode 1140	Average Score: 15.79
Episode 1150	Average Score: 15.95
Episode 1160	Average Score: 16.36
Episode 1170	Average Score: 16.63
Episode 1180	Average Score: 16.61
Episode 1190	Average Score: 16.88
Episode 1200	Average Score: 16.92
Episode 1210	Average Score: 16.82
Episode 1220	Average Score: 16.93
Episode 1230	Average Score: 17.02
Episode 1240	Average Score: 16.87
Episode 1250	Average Score: 16.69
Episode 1260	Average Score: 16.43
Episode 1270	Average Score: 16.31
Episode 1280	Average Score: 16.25
Episode 1290	Average Score: 16.11
Episode 1300	Average Score: 16.10
Episode 1310	Average Score: 16.25
Episode 1320	Average Score: 16.25
Episode 1330	Average Score: 16.09
Episode 1340	Average Score: 16.24
Episode 1350	Average Score: 16.20
Episode 1360	Average Score: 16.09
Episode 1370	Average Score: 16.09
Episode 1380	Average Score: 16.07
Episode 1390	Average Score: 16.15
Episode 1400	Average Score: 16.04
Episode 1410	Average Score: 15.92
Episode 1420	Average Score: 15.99
Episode 1430	Average Score: 15.81
Episode 1440	Average Score: 15.87
Episode 1450	Average Score: 16.02
Episode 1460	Average Score: 15.82
Episode 1470	Average Score: 15.53
Episode 1480	Average Score: 15.68
Episode 1490	Average Score: 15.66
Episode 1500	Average Score: 15.60
Episode 1510	Average Score: 15.37
Episode 1520	Average Score: 15.35
Episode 1530	Average Score: 15.63
Episode 1540	Average Score: 15.54
Episode 1550	Average Score: 15.24
Episode 1560	Average Score: 15.45
Episode 1570	Average Score: 15.58
Episode 1580	Average Score: 15.33
Episode 1590	Average Score: 15.50
Episode 1600	Average Score: 15.72
Episode 1610	Average Score: 15.99
Episode 1620	Average Score: 15.99
Episode 1630	Average Score: 15.93
Episode 1640	Average Score: 15.98
Episode 1650	Average Score: 16.17
Episode 1660	Average Score: 16.23
Episode 1670	Average Score: 16.22
Episode 1680	Average Score: 16.35
Episode 1690	Average Score: 16.16
Episode 1700	Average Score: 15.96
Episode 1710	Average Score: 15.91
Episode 1720	Average Score: 15.87
Episode 1730	Average Score: 15.86
Episode 1740	Average Score: 15.90
Episode 1750	Average Score: 15.93
Episode 1760	Average Score: 16.05
Episode 1770	Average Score: 16.32
Episode 1780	Average Score: 16.43
Episode 1790	Average Score: 16.49
Episode 1800	Average Score: 16.55
Episode 1810	Average Score: 16.70
Episode 1820	Average Score: 16.71
Episode 1830	Average Score: 16.50
Episode 1840	Average Score: 16.57
Episode 1850	Average Score: 16.38
Episode 1860	Average Score: 16.15
Episode 1870	Average Score: 15.84
Episode 1880	Average Score: 15.73
Episode 1890	Average Score: 15.51
Episode 1900	Average Score: 15.62
Episode 1910	Average Score: 15.46
Episode 1920	Average Score: 15.46
Episode 1930	Average Score: 15.70
Episode 1940	Average Score: 15.58
Episode 1950	Average Score: 15.62
Episode 1960	Average Score: 15.53
Episode 1970	Average Score: 15.67
Episode 1980	Average Score: 15.46
Episode 1990	Average Score: 15.66
Episode 2000	Average Score: 15.68
