Episode 10	Average Score: -0.20
Episode 20	Average Score: 0.20
Episode 30	Average Score: 0.17
Episode 40	Average Score: 0.10
Episode 50	Average Score: 0.12
Episode 60	Average Score: 0.18
Episode 70	Average Score: 0.27
Episode 80	Average Score: 0.36
Episode 90	Average Score: 0.48
Episode 100	Average Score: 0.58
Episode 110	Average Score: 0.78
Episode 120	Average Score: 1.04
Episode 130	Average Score: 1.29
Episode 140	Average Score: 1.53
Episode 150	Average Score: 1.79
Episode 160	Average Score: 2.11
Episode 170	Average Score: 2.50
Episode 180	Average Score: 2.79
Episode 190	Average Score: 3.17
Episode 200	Average Score: 3.42
Episode 210	Average Score: 3.56
Episode 220	Average Score: 3.65
Episode 230	Average Score: 3.84
Episode 240	Average Score: 4.21
Episode 250	Average Score: 4.59
Episode 260	Average Score: 4.87
Episode 270	Average Score: 4.92
Episode 280	Average Score: 5.20
Episode 290	Average Score: 5.26
Episode 300	Average Score: 5.72
Episode 310	Average Score: 6.05
Episode 320	Average Score: 6.51
Episode 330	Average Score: 6.87
Episode 340	Average Score: 7.09
Episode 350	Average Score: 7.07
Episode 360	Average Score: 7.27
Episode 370	Average Score: 7.65
Episode 380	Average Score: 7.96
Episode 390	Average Score: 8.45
Episode 400	Average Score: 8.39
Episode 410	Average Score: 8.59
Episode 420	Average Score: 8.75
Episode 430	Average Score: 8.98
Episode 440	Average Score: 9.16
Episode 450	Average Score: 9.59
Episode 460	Average Score: 9.65
Episode 470	Average Score: 9.88
Episode 480	Average Score: 10.22
Episode 490	Average Score: 10.23
Episode 500	Average Score: 10.49
Episode 510	Average Score: 10.80
Episode 520	Average Score: 11.03
Episode 530	Average Score: 11.21
Episode 540	Average Score: 11.38
Episode 550	Average Score: 11.47
Episode 560	Average Score: 11.82
Episode 570	Average Score: 11.78
Episode 580	Average Score: 11.71
Episode 590	Average Score: 11.86
Episode 600	Average Score: 12.10
Episode 610	Average Score: 12.16
Episode 620	Average Score: 12.16
Episode 630	Average Score: 12.36
Episode 640	Average Score: 12.37
Episode 650	Average Score: 12.36
Episode 660	Average Score: 12.47
Episode 670	Average Score: 12.72
Episode 680	Average Score: 12.86
Episode 690	Average Score: 12.68
Episode 700	Average Score: 12.82
Episode 710	Average Score: 12.80
Episode 720	Average Score: 12.64
Episode 730	Average Score: 12.68
Episode 740	Average Score: 12.61
Episode 750	Average Score: 12.89
Episode 760	Average Score: 12.86
Episode 770	Average Score: 12.98
Episode 780	Average Score: 12.51
Episode 790	Average Score: 12.76
Episode 800	Average Score: 12.61
Episode 810	Average Score: 12.66
Episode 820	Average Score: 13.06
Episode 830	Average Score: 12.73
Episode 840	Average Score: 13.06
Episode 850	Average Score: 12.58
Episode 860	Average Score: 12.71
Episode 870	Average Score: 12.55
Episode 880	Average Score: 12.81
Episode 890	Average Score: 12.83
Episode 900	Average Score: 12.75
Episode 910	Average Score: 12.81
Episode 920	Average Score: 12.36
Episode 930	Average Score: 12.84
Episode 940	Average Score: 12.76
Episode 950	Average Score: 13.25
Episode 960	Average Score: 13.15
Episode 970	Average Score: 13.20
Episode 980	Average Score: 13.43
Episode 990	Average Score: 13.63
Episode 1000	Average Score: 13.72
Episode 1010	Average Score: 13.68
Episode 1020	Average Score: 14.22
Episode 1030	Average Score: 14.11
Episode 1040	Average Score: 14.10
Episode 1050	Average Score: 14.10
Episode 1060	Average Score: 14.14
Episode 1070	Average Score: 13.99
Episode 1080	Average Score: 13.91
Episode 1090	Average Score: 13.82
Episode 1100	Average Score: 14.06
Episode 1110	Average Score: 14.28
Episode 1120	Average Score: 14.14
Episode 1130	Average Score: 13.86
Episode 1140	Average Score: 13.80
Episode 1150	Average Score: 13.70
Episode 1160	Average Score: 13.54
Episode 1170	Average Score: 13.62
Episode 1180	Average Score: 13.62
Episode 1190	Average Score: 13.67
Episode 1200	Average Score: 13.58
Episode 1210	Average Score: 13.53
Episode 1220	Average Score: 13.50
Episode 1230	Average Score: 13.90
Episode 1240	Average Score: 14.05
Episode 1250	Average Score: 14.14
Episode 1260	Average Score: 14.31
Episode 1270	Average Score: 14.35
Episode 1280	Average Score: 14.35
Episode 1290	Average Score: 14.54
Episode 1300	Average Score: 14.51
Episode 1310	Average Score: 14.59
Episode 1320	Average Score: 14.54
Episode 1330	Average Score: 14.54
Episode 1340	Average Score: 14.71
Episode 1350	Average Score: 14.89
Episode 1360	Average Score: 14.94
Episode 1370	Average Score: 14.88
Episode 1380	Average Score: 15.00
Episode 1390	Average Score: 14.80
Episode 1400	Average Score: 14.75
Episode 1410	Average Score: 14.89
Episode 1420	Average Score: 14.82
Episode 1430	Average Score: 14.96
Episode 1440	Average Score: 14.72
Episode 1450	Average Score: 14.46
Episode 1460	Average Score: 14.36
Episode 1470	Average Score: 14.65
Episode 1480	Average Score: 14.70
Episode 1490	Average Score: 14.83
Episode 1500	Average Score: 15.00
Episode 1510	Average Score: 14.84
Episode 1520	Average Score: 15.21
Episode 1530	Average Score: 14.91
Episode 1540	Average Score: 15.04
Episode 1550	Average Score: 15.34
Episode 1560	Average Score: 15.58
Episode 1570	Average Score: 15.71
Episode 1580	Average Score: 15.80
Episode 1590	Average Score: 15.76
Episode 1600	Average Score: 15.37
Episode 1610	Average Score: 15.07
Episode 1620	Average Score: 14.94
Episode 1630	Average Score: 14.91
Episode 1640	Average Score: 15.17
Episode 1650	Average Score: 14.84
Episode 1660	Average Score: 14.74
Episode 1670	Average Score: 14.62
Episode 1680	Average Score: 14.50
Episode 1690	Average Score: 14.24
Episode 1700	Average Score: 14.40
Episode 1710	Average Score: 14.81
Episode 1720	Average Score: 14.58
Episode 1730	Average Score: 14.76
Episode 1740	Average Score: 14.31
Episode 1750	Average Score: 14.57
Episode 1760	Average Score: 14.54
Episode 1770	Average Score: 14.48
Episode 1780	Average Score: 14.37
Episode 1790	Average Score: 14.50
Episode 1800	Average Score: 14.80
Episode 1810	Average Score: 14.79
Episode 1820	Average Score: 14.88
Episode 1830	Average Score: 15.02
Episode 1840	Average Score: 15.25
Episode 1850	Average Score: 15.36
Episode 1860	Average Score: 15.27
Episode 1870	Average Score: 15.28
Episode 1880	Average Score: 15.42
Episode 1890	Average Score: 15.73
Episode 1900	Average Score: 15.51
Episode 1910	Average Score: 15.39
Episode 1920	Average Score: 15.54
Episode 1930	Average Score: 15.20
Episode 1940	Average Score: 15.15
Episode 1950	Average Score: 14.97
Episode 1960	Average Score: 15.21
Episode 1970	Average Score: 15.10
Episode 1980	Average Score: 15.15
Episode 1990	Average Score: 14.82
Episode 2000	Average Score: 14.87
